definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
爸爸/爹地,people,人物,13.98470588235294,12.630484988452656,10.065289256198348,2206,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,4|10|19|27|33|43|61|76|144|84|81|83|82|87|94|101|123|109|86|91|99|87|92|88|82|83|77|79|81,5|13|24|34|41|55|75|72|85|97|96|99|98|99|98|96|99|99|99|99|99|99|98|100|100|98|100|98|100,8|36
媽媽/媽咪,people,人物,15.228987068965518,12.764705882352942,10.074952561669829,2203,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,8|10|19|26|30|42|60|77|141|85|79|82|82|87|95|101|123|107|87|91|99|87|93|88|82|84|77|80|81,9|13|24|33|38|54|74|73|83|98|94|98|98|99|99|96|99|97|100|99|99|99|99|100|100|99|100|99|100,8|36
姊姊,people,人物,19.5,16.626149540183928,13.58695652173913,1742,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,1|0|3|4|6|13|25|31|67|49|52|62|64|74|86|95|111|99|80|82|96|84|86|84|78|80|72|78|80,1|0|4|5|8|17|31|29|39|56|62|74|76|84|90|90|90|90|92|89|96|95|91|95|95|94|94|96|99,8|36
奶奶,people,人物,19.833333333333332,16.776785714285715,13.311059907834101,1710,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,1|2|3|3|11|17|26|35|68|46|49|58|64|71|77|90|110|101|79|80|90|83|84|83|71|81|72|77|78,1|3|4|4|14|22|32|33|40|53|58|69|76|81|80|86|89|92|91|87|90|94|89|94|87|95|94|95|96,8|36
哥哥,people,人物,19,17.056910569105693,13.710526315789474,1689,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|3|2|4|13|23|21|59|43|50|63|64|72|76|92|110|96|78|82|96|84|89|85|77|80|72|77|78,0|0|4|3|5|17|28|20|35|49|60|75|76|82|79|88|89|87|90|89|96|95|95|97|94|94|94|95|96,8|36
阿姨(姨媽),people,人物,20.511627906976745,17.910216718266255,15.615942028985508,1621,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|2|2|2|9|14|20|49|33|43|59|58|71|78|89|107|96|82|81|92|86|85|83|78|78|69|79|76,0|0|3|3|2|12|17|19|29|38|51|70|69|81|81|85|86|87|94|88|92|98|90|94|95|92|90|98|94,8|36
妹妹,people,人物,22.25925925925926,18,16.18684107770402,1500,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|0|4|13|12|37|34|42|47|51|58|70|85|100|93|74|73|87|76|84|80|74|80|70|78|77,0|0|0|1|0|5|16|11|22|39|50|56|61|66|73|81|81|85|85|79|87|86|89|91|90|94|91|96|95,8|36
爺爺,people,人物,21,18.166666666666668,13.765463917525773,1584,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,1|2|2|1|6|14|22|25|53|40|40|52|56|66|75|87|103|95|69|77|90|81|77|83|72|77|69|72|77,1|3|3|1|8|18|27|24|31|46|48|62|67|75|78|83|83|86|79|84|90|92|82|94|88|91|90|89|95,8|36
弟弟,people,人物,22.769881556683586,18.6,16.377242822966508,1419,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|0|6|13|11|28|34|36|46|42|54|59|83|98|86|71|68|84|74|83|79|70|74|66|79|74,0|0|0|1|0|8|16|10|16|39|43|55|50|61|61|79|79|78|82|74|84|84|88|90|85|87|86|98|91,8|36
小寶寶(小貝比),people,人物,23.383963494132985,18.642857142857142,16.178383128295255,1425,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|1|3|2|6|15|18|39|30|33|47|48|53|63|74|102|81|66|69|88|74|79|80|66|75|65|76|72,0|0|1|4|2|8|19|17|23|34|39|56|57|60|66|70|82|74|76|75|88|84|84|91|80|88|84|94|89,8|36
