definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
爸爸/爹地,people,人物,8,8,8,716,86|79|78|79|80|78|81|106|90,81|76|72|70|72|76|80|103|86,94|96|92|89|90|97|99|97|96,8|16
媽媽/媽咪,people,人物,8,8,8,729,86|79|78|79|80|78|81|106|90,83|77|72|75|74|78|79|104|87,97|97|92|95|92|100|98|98|97,8|16
自己的名字,people,人物,8,8,8,643,86|79|78|79|80|78|81|106|90,73|72|61|65|70|61|69|94|78,85|91|78|82|88|78|85|89|87,8|16
奶奶,people,人物,14.88417540514776,8,8,490,86|79|78|79|80|78|81|106|90,58|55|45|41|41|53|52|81|64,67|70|58|52|51|68|64|76|71,8|16
爺爺,people,人物,16,8,8,426,86|79|78|79|80|78|81|106|90,47|50|35|35|38|50|46|68|57,55|63|45|44|48|64|57|64|63,8|16
小寶寶(小貝比),people,人物,16,8,8,349,86|79|78|79|80|78|81|106|90,43|45|25|28|26|31|36|64|51,50|57|32|35|32|40|44|60|57,8|16
姊姊,people,人物,16,8.123824451410659,8,376,86|79|78|79|80|78|81|106|90,42|46|24|23|34|37|48|66|56,49|58|31|29|42|47|59|62|62,8|16
哥哥,people,人物,16,8.524336283185841,8,359,86|79|78|79|80|78|81|106|90,40|42|27|19|29|42|48|59|53,47|53|35|24|36|54|59|56|59,8|16
阿姨(姨媽),people,人物,16,8.742735042735042,8,326,86|79|78|79|80|78|81|106|90,32|43|27|23|22|31|35|56|57,37|54|35|29|28|40|43|53|63,8|16
外婆,people,人物,16,14.164086687306503,8,350,86|79|78|79|80|78|81|106|90,39|34|31|29|25|36|39|63|54,45|43|40|37|31|46|48|59|60,8|16
外公,people,人物,16,14.8056,8,293,86|79|78|79|80|78|81|106|90,31|31|25|20|21|30|31|56|48,36|39|32|25|26|38|38|53|53,8|16
姑姑,people,人物,16,16,8,242,86|79|78|79|80|78|81|106|90,23|25|16|16|20|29|31|37|45,27|32|21|20|25|37|38|35|50,8|16
舅舅,people,人物,16,16,8,234,86|79|78|79|80|78|81|106|90,25|30|20|11|12|24|30|49|33,29|38|26|14|15|31|37|46|37,8|16
小朋友,people,人物,16,16,8,201,86|79|78|79|80|78|81|106|90,29|28|14|12|15|20|17|36|30,34|35|18|15|19|26|21|34|33,8|16
家人的名字,people,人物,16,16,8,165,86|79|78|79|80|78|81|106|90,22|23|14|11|12|12|17|33|21,26|29|18|14|15|15|21|31|23,8|16
寵物的名字,people,人物,16,16,8,156,86|79|78|79|80|78|81|106|90,22|17|9|16|7|16|19|33|17,26|22|12|20|9|21|23|31|19,8|16
你的,people,人物,16,16,8.524336283185841,129,86|79|78|79|80|78|81|106|90,20|21|7|7|4|12|12|23|23,23|27|9|9|5|15|15|22|26,8|16
我的,people,人物,16,16,8.55984251968504,130,86|79|78|79|80|78|81|106|90,17|23|5|8|5|12|13|24|23,20|29|6|10|6|15|16|23|26,8|16
你,people,人物,16,16,8.795021186440678,111,86|79|78|79|80|78|81|106|90,12|22|5|11|5|11|10|16|19,14|28|6|14|6|14|12|15|21,8|16
妹妹,people,人物,16,16,8.826892109500806,176,86|79|78|79|80|78|81|106|90,15|21|11|11|5|16|31|33|33,17|27|14|14|6|21|38|31|37,8|16
我,people,人物,16,16,8.862002567394095,122,86|79|78|79|80|78|81|106|90,13|21|5|12|5|12|13|18|23,15|27|6|15|6|15|16|17|26,8|16
伯伯,people,人物,16,16,8.927852348993287,142,86|79|78|79|80|78|81|106|90,18|20|8|8|8|14|16|26|24,21|25|10|10|10|18|20|25|27,8|16
叔叔,people,人物,16,16,13.448339483394834,182,86|79|78|79|80|78|81|106|90,15|19|11|15|11|15|26|40|30,17|24|14|19|14|19|32|38|33,8|16
弟弟,people,人物,16,16,13.448339483394834,163,86|79|78|79|80|78|81|106|90,17|16|5|9|7|15|26|34|34,20|20|6|11|9|19|32|32|38,8|16
褓母(奶媽),people,人物,16,16,15.5859375,136,86|79|78|79|80|78|81|106|90,18|14|6|13|11|13|13|24|24,21|18|8|16|14|17|16|23|27,8|16
醫生,people,人物,16,16,16,114,86|79|78|79|80|78|81|106|90,14|19|10|7|6|12|9|19|18,16|24|13|9|8|15|11|18|20,8|16
他,people,人物,16,16,16,57,86|79|78|79|80|78|81|106|90,8|11|3|5|0|4|5|12|9,9|14|4|6|0|5|6|11|10,8|16
他的,people,人物,16,16,16,67,86|79|78|79|80|78|81|106|90,10|11|3|5|2|5|7|14|10,12|14|4|6|2|6|9|13|11,8|16
再見(byebye),games_routines,遊戲/日常生活,8,8,8,691,86|79|78|79|80|78|81|106|90,81|78|55|69|74|74|75|100|85,94|99|71|87|92|95|93|94|94,8|16
