ID,item.WG,item.WS,definition,category,age.70,age.50,age.30,n,bin,age_distr,age_distr_prob
212,d11_01,a12_01,爸爸/爹地,people,13.65625,12.523012552301255,10.687142857142858,2098,12~18,4|10|18|24|33|42|58|72|137|78|77|79|80|86|92|95|118|106|82|85|95|81|82|83|76|81|72|78|74,5|14|25|32|43|56|77|71|85|96|96|99|98|99|98|96|99|99|99|99|99|99|99|100|100|98|100|99|100
213,d11_02,a12_02,媽媽/媽咪,people,13.71875,12.69284064665127,10.687142857142858,2095,12~18,8|10|18|24|30|41|57|74|134|79|75|78|80|86|93|95|118|104|83|85|95|81|82|83|76|82|72|78|74,10|14|25|32|39|55|76|73|83|98|94|98|98|99|99|96|99|97|100|99|99|99|99|100|100|99|100|99|100
214,d11_03,a12_03,姊姊,people,18.666666666666664,16.553769401330378,13.807692307692308,1658,12~18,1|0|3|4|6|12|25|31|62|48|50|59|62|73|85|89|106|96|76|76|93|78|76|79|73|78|68|76|73,1|0|4|5|8|16|33|31|39|59|62|74|76|84|90|90|89|90|92|88|97|95|92|95|96|94|94|96|99
215,d11_04,a12_04,奶奶,people,19.236994219653177,16.648471615720524,13.8125,1629,12~18,1|2|3|3|11|16|24|34|64|45|48|54|64|71|76|85|105|98|75|74|87|78|74|79|66|79|67|75|71,1|3|4|4|14|21|32|34|40|56|60|68|78|82|81|86|88|92|90|86|91|95|89|95|87|95|93|95|96
216,d11_05,a12_05,哥哥,people,18.636363636363637,16.962488350419385,15.71019271948608,1605,12~18,0|0|3|2|4|12|21|20|55|41|49|60|62|71|74|87|105|93|75|77|93|78|80|80|72|78|67|75|71,0|0|4|3|5|16|28|20|34|51|61|75|76|82|79|88|88|87|90|90|97|95|96|96|95|94|93|95|96
221,d11_10,a12_10,阿姨(姨媽),people,18.933333333333334,17.787401574803148,16.117391304347827,1545,12~18,0|0|2|2|2|8|14|20|46|33|42|57|57|71|76|84|102|93|78|77|88|80|75|78|73|77|64|77|69,0|0|3|3|3|11|19|20|29|41|52|71|70|82|81|85|86|87|94|90|92|98|90|94|96|93|89|97|93
224,d11_13,a12_13,妹妹,people,21.427272727272726,17.807600950118765,16.464954682779457,1434,12~18,0|0|0|1|0|3|12|12|35|32|42|45|51|58|70|81|96|90|71|69|85|72|75|75|69|78|65|76|71,0|0|0|1|0|4|16|12|22|40|52|56|62|67|74|82|81|84|86|80|89|88|90|90|91|94|90|96|96
190,d10_01,a11_01,再見(byebye),games_routines,16.700646725949877,13.346153846153847,11.84142857142857,1939,12~18,2|6|13|16|24|33|46|68|102|59|62|74|74|80|84|92|117|103|79|81|96|82|83|83|74|82|72|79|73,3|8|18|22|32|44|61|67|63|73|78|92|90|92|89|93|98|96|95|94|100|100|100|100|97|99|100|100|99
191,d10_02,a11_02,謝謝,games_routines,18.4,15.90811499272198,13.38888888888889,1775,12~18,0|1|4|8|9|19|28|35|83|51|54|59|67|80|84|94|113|101|77|83|96|81|83|82|75|83|72|79|74,0|1|5|11|12|25|37|35|52|63|68|74|82|92|89|95|95|94|93|97|100|99|100|99|99|100|100|100|100
255,d14_01,a15_01,抱(抱),action_words,16.94208633093525,13.75,12.283018867924527,1916,12~18,7|11|16|20|21|27|41|55|103|57|60|65|71|77|85|92|116|103|82|84|96|81|82|83|76|83|70|79|73,9|15|22|27|28|36|55|54|64|70|75|81|87|89|90|93|97|96|99|98|100|99|99|100|100|100|97|100|99
259,d14_05,a15_05,是/對/好,action_words,18.666666666666668,16.591858037578287,15.632119205298013,1626,12~18,0|1|1|6|5|8|19|22|56|49|46|61|60|68|76|89|108|94|79|79|90|78|80|82|74|82|64|78|71,0|1|1|8|7|11|25|22|35|60|57|76|73|78|81|90|91|88|95|92|94|95|96|99|97|99|89|99|96
257,d14_03,a15_03,不要,action_words,18.857142857142858,17.10989010989011,13.166666666666666,1725,12~18,2|4|6|14|19|21|30|36|64|40|44|58|62|66|79|90|108|102|81|82|93|81|82|83|73|82|71|78|74,3|6|8|19|25|28|40|36|40|49|55|72|76|76|84|91|91|95|98|95|97|99|99|100|96|99|99|99|100
256,d14_02,a15_02,吃,action_words,20.225555555555555,17.597014925373134,12.728571428571428,1691,12~18,2|8|10|14|16|25|31|42|69|33|45|50|56|66|75|85|104|96|77|79|91|79|82|82|72|81|69|78|74,3|11|14|19|21|33|41|42|43|41|56|62|68|76|80|86|87|90|93|92|95|96|99|99|95|98|96|99|100
61,d04_01,a04_01,牛奶(ㄋㄟㄋㄟ),food_drink,16.37260474655728,13.40625,12.172855313700383,1949,12~18,7|10|15|14|21|31|47|57|97|70|67|74|72|82|87|92|115|105|83|83|93|80|83|83|73|83|72|79|74,9|14|21|19|28|41|63|56|60|86|84|92|88|94|93|93|97|98|100|97|97|98|100|100|96|100|100|100|100
62,d04_02,a04_02,水(茶茶),food_drink,16.987903831705484,16.334710743801654,13.95,1740,12~18,1|1|1|5|11|13|23|40|64|57|59|60|64|75|80|93|112|103|79|81|95|79|82|82|74|82|71|79|74,1|1|1|7|14|17|31|40|40|70|74|75|78|86|85|94|94|96|95|94|99|96|99|99|97|99|99|100|100
