definition,category,category_zh,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D
爸爸/爹地,people,人物,13.98470588235294,12.630484988452656,10.065289256198348,8|36,15.106563333333334,12.45194575,9.797330283333332,0.414848515
媽媽/媽咪,people,人物,15.228987068965518,12.764705882352942,10.074952561669829,8|36,15.117078083333332,12.524489416666666,9.931900983333334,0.4246735683333333
姊姊,people,人物,19.5,16.626149540183928,13.58695652173913,8|36,21.204517666666668,17.4430445,13.68157025,0.292492695
奶奶,people,人物,19.833333333333332,16.776785714285715,13.3110599078341,8|36,22.05197275,17.663626583333333,13.275279666666666,0.25073921666666665
再見(byebye),games_routines,遊戲/日常生活,17.835227272727273,13.40909090909091,11.357723577235772,8|36,17.502577416666668,14.250054833333333,10.997531341666667,0.3383999125
謝謝,games_routines,遊戲/日常生活,19.166666666666668,15.923244026068067,13.056016597510371,8|36,19.255565666666666,16.347509583333334,13.4394515,0.37839188083333336
抱(抱),action_words,動作詞,18.166666666666668,13.820441988950275,10.669491525423728,8|36,17.935519416666665,14.432395666666666,10.929274166666668,0.3141678858333333
不要,action_words,動作詞,20,17.419999999999998,12.280575539568346,8|36,20.25859175,16.74284175,13.227089416666667,0.3129648525
吃,action_words,動作詞,21,17.71707317073171,12.375,8|36,21.24239425,16.9676455,12.692897916666666,0.25737636416666665
是/對/好,action_words,動作詞,18.941176470588236,16.680081065431384,13.935643564356436,8|36,21.4062155,17.90164791666667,14.397076916666666,0.31395764416666666
牛奶(ㄋㄟㄋㄟ),food_drink,食物/飲料,16.650045745654165,13.460975609756098,11.655021834061134,8|36,17.373031666666666,14.122283166666667,10.871536166666667,0.33856664166666667
水(茶茶),food_drink,食物/飲料,19,16.397714285714287,13.675,8|36,19.711621333333333,16.715284583333332,13.718948333333334,0.36732483666666665
小狗(汪汪),animals,動物,18.076923076923077,15.793774319066149,13.369402985074627,8|36,18.4941525,15.978997916666666,13.463843416666666,0.43761585333333336
汽車(車車、ㄅㄨㄅㄨ),vehicles,交通工具,18.53846153846154,16.495608829812486,14.461105424769704,8|36,19.307400666666666,16.915157666666666,14.52291275,0.4600355941666667
球,toys,玩具,18.857142857142858,16.62087421944692,13.921686746987952,8|36,19.8444285,17.050543666666666,14.256659583333333,0.3938303558333333
鞋子,clothing,衣物,19.285714285714285,16.663109756097562,14.502790178571429,8|36,19.79128475,17.309033666666668,14.826781583333334,0.443277895
哥哥,people,人物,19,17.056910569105693,13.710526315789474,8|36,21.79716675,18.040778166666666,14.284389333333333,0.29288135833333334
阿姨(姨媽),people,人物,20.511627906976745,17.910216718266255,15.615942028985508,8|36,22.543762666666666,18.780797583333335,15.017836583333333,0.292361965
爺爺,people,人物,21,18.166666666666668,13.765463917525771,8|36,23.80609175,19.030857583333333,14.25562025,0.23035382583333333
妹妹,people,人物,22.25925925925926,18,16.18684107770402,8|36,24.123488833333333,20.063689583333332,16.003891333333332,0.2709793425
自己的名字,people,人物,22.625,19.5,17.265822784810126,8|36,24.232505083333333,20.352657166666667,16.472810583333334,0.2835331675
小寶寶(小貝比),people,人物,23.383963494132985,18.642857142857142,16.178383128295255,8|36,25.781176333333335,20.827054166666667,15.872931166666667,0.2220742225
弟弟,people,人物,22.769881556683583,18.6,16.377242822966508,8|36,25.419812666666665,20.919526833333332,16.419238,0.24444463666666666
舅舅,people,人物,25.199846860643184,19.5,16.416752977731747,8|36,26.607411666666668,21.702181916666667,16.79695075,0.22428866666666666
叔叔,people,人物,25.404024767801857,20.230366492146597,16.730410447761194,8|36,26.387571833333332,21.832197583333333,17.2768215,0.24146336333333332
姑姑,people,人物,25.825949367088608,18.933333333333337,16.38046647230321,8|36,27.224571166666667,22.075715583333334,16.9268595,0.21362149416666668
伯伯,people,人物,27.352112676056336,19.714285714285715,16.733734939759035,8|36,28.160179583333335,22.957931,17.755684833333333,0.21147664666666666
外婆,people,人物,29.74015748031496,20.411214953271028,16.169921875,8|36,29.620447416666668,23.08913658333333,16.557825833333332,0.16848293833333333
我,people,人物,27.520833333333332,23.316914498141266,19.333333333333332,8|36,26.94087925,23.495285,20.049690083333335,0.3192437141666667
家人的名字,people,人物,27.520833333333332,22.665399239543728,18.714285714285715,8|36,27.515296083333332,23.730248666666668,19.945203916666667,0.2906507366666667
吃飯,games_routines,遊戲/日常生活,22.801526717557252,19.5,13.935643564356436,8|36,23.047493,19.4681855,15.88887925,0.3073688866666667
拍拍手,games_routines,遊戲/日常生活,25.17103538663172,18.94736842105263,12,8|36,25.384637333333334,19.720480583333334,14.05632225,0.19424096583333333
睡覺,games_routines,遊戲/日常生活,22.702005730659025,18.727272727272727,16.347358722358724,8|36,23.286449916666665,19.77939525,16.272340083333333,0.31363994
洗澡,games_routines,遊戲/日常生活,24,19,17.153284671532848,8|36,23.990887333333333,20.500972583333333,17.011059166666666,0.3152458691666667
上廁所(尿尿、便便),games_routines,遊戲/日常生活,24.45294117647059,19.5,16.90934300341297,8|36,24.012223416666668,20.702553833333333,17.39288175,0.33235915833333335
哈囉(嗨),games_routines,遊戲/日常生活,27.42016806722689,18.727272727272727,13.834545454545454,8|36,26.93913475,21.056911666666668,15.174691833333334,0.187036435
刷牙,games_routines,遊戲/日常生活,24.32608695652174,21.23762376237624,18.125,8|36,24.611169333333333,21.43703025,18.262890833333334,0.34662292333333333
晚安,games_routines,遊戲/日常生活,25.90924092409241,21,16.84785202863962,8|36,26.121245833333333,22.08306625,18.044882416666667,0.27241014
換尿布,games_routines,遊戲/日常生活,27,21.897196261682243,18.105263157894736,8|36,26.89601516666667,22.333836,17.771657583333333,0.24115071166666666
跳舞,games_routines,遊戲/日常生活,27.40453074433657,22.34246575342466,18.529411764705884,8|36,27.404731416666667,22.658016333333332,17.911298333333335,0.23174115083333333
看電視,games_routines,遊戲/日常生活,27.200534759358288,22.508885298869146,18.77777777777778,8|36,26.333521166666667,22.800187916666665,19.266850916666666,0.3113282975
打電話,games_routines,遊戲/日常生活,27.928792569659443,22.535168195718654,13.762458471760798,8|36,27.67070208333333,22.819883416666666,17.969064583333335,0.2267770625
噓/噓噓(安靜),games_routines,遊戲/日常生活,27.6198347107438,18.90909090909091,16.630434782608695,8|36,28.046409166666667,22.860979166666667,17.67554833333333,0.2121695975
唱歌,games_routines,遊戲/日常生活,27.566037735849054,22.533980582524272,19,8|36,27.227572916666666,23.038298,18.84902183333333,0.2625960375
讀書(看書),games_routines,遊戲/日常生活,27.3257328990228,21.876404494382022,18.5,8|36,27.378219833333333,23.187756416666666,18.997293,0.2625306591666667
對不起,games_routines,遊戲/日常生活,27.59171597633136,22.660377358490567,18.90909090909091,8|36,27.5157415,23.769968666666667,20.024194583333333,0.293712255
要,action_words,動作詞,22.299145299145295,18.083333333333332,13.545955882352942,8|36,22.511407333333334,18.542059666666667,14.572713166666666,0.27712633416666665
走/散步,action_words,動作詞,23.12109375,18.272727272727273,14.3955223880597,8|36,22.468923416666666,18.79411175,15.119300416666666,0.2993853066666667
拍(手),action_words,動作詞,23.742173112338858,20.511627906976745,10.88502358490566,8|36,24.760248166666667,19.265956,13.771662666666666,0.20028268583333333
打,action_words,動作詞,24.43193717277487,18.727272727272727,14.52745367192862,8|36,24.133975333333332,19.57556183333333,15.017151666666667,0.24132972583333334
