item_definition,category,category_zh
小狗(汪汪),animals,動物
小貓(喵喵),animals,動物
魚,animals,動物
小鳥,animals,動物
鴨子(呱呱),animals,動物
小熊(泰迪熊),animals,動物
馬,animals,動物
雞(咕咕咕),animals,動物
牛(哞),animals,動物
兔子,animals,動物
大象,animals,動物
豬,animals,動物
螞蟻,animals,動物
小羊(咩咩),animals,動物
企鵝,animals,動物
蝴蝶,animals,動物
猴子,animals,動物
老虎,animals,動物
蟲蟲,animals,動物
獅子,animals,動物
烏龜,animals,動物
青蛙,animals,動物
長頸鹿,animals,動物
蚊子,animals,動物
老鼠,animals,動物
蜜蜂(ㄨㄥㄨㄥ),animals,動物
螃蟹,animals,動物
動物,animals,動物
斑馬,animals,動物
鹿,animals,動物
小雞,animals,動物
蟑螂,animals,動物
鱷魚,animals,動物
毛毛蟲,animals,動物
蝦子,animals,動物
公雞,animals,動物
河馬,animals,動物
蒼蠅,animals,動物
蛇,animals,動物
蝸牛,animals,動物
綿羊,animals,動物
狼(大野狼),animals,動物
海豚,animals,動物
蜘蛛,animals,動物
鵝,animals,動物
貓頭鷹,animals,動物
松鼠,animals,動物
鯊魚,animals,動物
鴿子,animals,動物
母雞,animals,動物
老鷹,animals,動物
孔雀,animals,動物
鸚鵡,animals,動物
蛤蠣(貝殼),animals,動物
蚯蚓,animals,動物
手,body_parts,身體部位
眼睛,body_parts,身體部位
耳朵,body_parts,身體部位
嘴巴,body_parts,身體部位
肚子,body_parts,身體部位
腳,body_parts,身體部位
頭,body_parts,身體部位
鼻子,body_parts,身體部位
頭髮,body_parts,身體部位
屁股,body_parts,身體部位
肚臍,body_parts,身體部位
小ㄐㄐ/小鳥(生殖器),body_parts,身體部位
牙齒,body_parts,身體部位
臉,body_parts,身體部位
眉毛,body_parts,身體部位
手指(手指頭),body_parts,身體部位
舌頭,body_parts,身體部位
脖子,body_parts,身體部位
腳趾頭,body_parts,身體部位
胸部(ㄋㄟㄋㄟ),body_parts,身體部位
指甲,body_parts,身體部位
嘴唇,body_parts,身體部位
背,body_parts,身體部位
下巴,body_parts,身體部位
膝蓋,body_parts,身體部位
肩膀,body_parts,身體部位
大腿,body_parts,身體部位
手臂,body_parts,身體部位
小腿,body_parts,身體部位
汽車(車車、ㄅㄨㄅㄨ),vehicles,交通工具
飛機,vehicles,交通工具
垃圾車,vehicles,交通工具
機車(摩托車),vehicles,交通工具
火車,vehicles,交通工具
船,vehicles,交通工具
腳踏車,vehicles,交通工具
公車(巴士),vehicles,交通工具
娃娃車(手推車),vehicles,交通工具
三輪車,vehicles,交通工具
計程車,vehicles,交通工具
怪手(挖土機),vehicles,交通工具
救護車,vehicles,交通工具
消防車,vehicles,交通工具
卡車,vehicles,交通工具
直昇機,vehicles,交通工具
吊車,vehicles,交通工具
