ID,item.WG,item.WS,definition,category
1,d01_01,a01_01,小狗(汪汪),animals
2,d01_02,a01_02,小貓(喵喵),animals
3,d01_03,a01_03,魚,animals
4,d01_04,a01_04,小鳥,animals
5,d01_05,a01_05,鴨子(呱呱),animals
6,d01_06,a01_06,小熊(泰迪熊),animals
7,d01_07,a01_07,馬,animals
8,d01_08,a01_08,雞(咕咕咕),animals
9,d01_09,a01_09,牛(哞),animals
10,d01_10,a01_10,兔子,animals
11,d01_11,a01_11,大象,animals
12,d01_12,a01_12,豬,animals
13,d01_13,a01_13,螞蟻,animals
14,d01_14,a01_14,小羊(咩咩),animals
15,d01_15,a01_15,企鵝,animals
16,d01_16,a01_16,蝴蝶,animals
17,d01_17,a01_17,猴子,animals
18,d01_18,a01_18,老虎,animals
19,d01_19,a01_19,蟲蟲,animals
20,d01_20,a01_20,獅子,animals
21,d01_21,a01_21,烏龜,animals
22,d01_22,a01_22,青蛙,animals
23,d01_23,a01_23,長頸鹿,animals
24,d01_24,a01_24,蚊子,animals
25,d01_25,a01_25,老鼠,animals
26,d01_26,a01_26,蜜蜂(ㄨㄥㄨㄥ),animals
27,d01_27,a01_27,螃蟹,animals
28,d01_28,a01_28,動物,animals
29,d01_29,a01_29,斑馬,animals
30,d01_30,a01_30,鹿,animals
31,d02_01,a02_01,手,body_parts
32,d02_02,a02_02,眼睛,body_parts
33,d02_03,a02_03,耳朵,body_parts
34,d02_04,a02_04,嘴巴,body_parts
35,d02_05,a02_05,肚子,body_parts
36,d02_06,a02_06,腳,body_parts
37,d02_07,a02_07,頭,body_parts
38,d02_08,a02_08,鼻子,body_parts
39,d02_09,a02_09,頭髮,body_parts
40,d02_10,a02_10,屁股,body_parts
41,d02_11,a02_11,肚臍,body_parts
42,d02_12,a02_12,小ㄐㄐ/小鳥(生殖器),body_parts
43,d02_13,a02_13,牙齒,body_parts
44,d02_14,a02_14,臉,body_parts
45,d02_15,a02_15,眉毛,body_parts
46,d02_16,a02_16,手指(手指頭),body_parts
47,d02_17,a02_17,舌頭,body_parts
48,d02_18,a02_18,脖子,body_parts
49,d02_19,a02_19,腳趾頭,body_parts
50,d02_20,a02_20,胸部(ㄋㄟㄋㄟ),body_parts
