definition,bopomo,bopomo.ori
爸爸/爹地,ㄅㄚ ㄅㄚ / ㄉㄧㄝ ㄉㄧ,ㄅㄚˋ ˙ㄅㄚ / ㄉㄧㄝ- ㄉㄧˋ
媽媽/媽咪,ㄇㄚ ㄇㄚ / ㄇㄚ ㄇㄧ,ㄇㄚ- ˙ㄇㄚ / ㄇㄚ- ㄇㄧ-
姊姊,ㄐㄧㄝ ㄐㄧㄝ,ㄐㄧㄝˇ ㄐㄧㄝˇ
奶奶,ㄋㄞ ㄋㄞ,ㄋㄞˇ ˙ㄋㄞ
再見(byebye),ㄗㄞ ㄐㄧㄢ ( b y e b y e ) ,ㄗㄞˋ ㄐㄧㄢˋ ( b y e b y e ) 
謝謝,ㄒㄧㄝ ㄒㄧㄝ,ㄒㄧㄝˋ ˙ㄒㄧㄝ
抱(抱),ㄅㄠ ( ㄅㄠ ) ,ㄅㄠˋ ( ㄅㄠˋ ) 
不要,ㄅㄨ ㄧㄠ,ㄅㄨˋ ㄧㄠˋ
吃,ㄔ,ㄔ-
是/對/好,ㄕ / ㄉㄨㄟ / ㄏㄠ,ㄕˋ / ㄉㄨㄟˋ / ㄏㄠˇ
牛奶(ㄋㄟㄋㄟ),ㄋㄧㄡ ㄋㄞ ( ㄋ ㄟ ㄋ ㄟ ) ,ㄋㄧㄡˊ ㄋㄞˇ ( ㄋ ㄟ ㄋ ㄟ ) 
水(茶茶),ㄕㄨㄟ ( ㄔㄚ ㄔㄚ ) ,ㄕㄨㄟˇ ( ㄔㄚˊ ㄔㄚˊ ) 
小狗(汪汪),ㄒㄧㄠ ㄍㄡ ( ㄨㄤ ㄨㄤ ) ,ㄒㄧㄠˇ ㄍㄡˇ ( ㄨㄤ- ㄨㄤ- ) 
汽車(車車、ㄅㄨㄅㄨ),ㄑㄧ ㄔㄜ ( ㄔㄜ ㄔㄜ 、 ㄅ ㄨ ㄅ ㄨ ) ,ㄑㄧˋ ㄔㄜ- ( ㄔㄜ- ㄔㄜ- 、 ㄅ ㄨ ㄅ ㄨ ) 
球,ㄑㄧㄡ,ㄑㄧㄡˊ
鞋子,ㄒㄧㄝ ㄗ,ㄒㄧㄝˊ ˙ㄗ
哥哥,ㄍㄜ ㄍㄜ,ㄍㄜ- ˙ㄍㄜ
阿姨(姨媽),ㄚ ㄧ ( ㄧ ㄇㄚ ) ,ㄚ- ㄧˊ ( ㄧˊ ㄇㄚ- ) 
爺爺,ㄧㄝ ㄧㄝ,ㄧㄝˊ ˙ㄧㄝ
妹妹,ㄇㄟ ㄇㄟ,ㄇㄟˋ ˙ㄇㄟ
自己的名字,ㄗ ㄐㄧ ㄉㄜ ㄇㄧㄥ ㄗ,ㄗˋ ㄐㄧˇ ˙ㄉㄜ ㄇㄧㄥˊ ˙ㄗ
小寶寶(小貝比),ㄒㄧㄠ ㄅㄠ ㄅㄠ ( ㄒㄧㄠ ㄅㄟ ㄅㄧ ) ,ㄒㄧㄠˇ ㄅㄠˇ ㄅㄠˇ ( ㄒㄧㄠˇ ㄅㄟˋ ㄅㄧˇ ) 
弟弟,ㄉㄧ ㄉㄧ,ㄉㄧˋ ˙ㄉㄧ
舅舅,ㄐㄧㄡ ㄐㄧㄡ,ㄐㄧㄡˋ ˙ㄐㄧㄡ
